concurso,data,d1,d2,d3,d4,d5,d6,ordem_sorteio
1,1996-03-11,4,5,30,33,41,52,41 05 04 52 30 33
2,1996-03-18,9,37,39,41,43,49,09 39 37 49 43 41
3,1996-03-25,10,11,29,30,36,47,36 30 10 11 29 47
4,1996-04-01,1,5,6,27,42,59,06 59 42 27 01 05
5,1996-04-08,1,2,6,16,19,46,01 19 46 06 16 02
6,1996-04-15,7,13,19,22,40,47,19 40 07 13 22 47
7,1996-04-22,3,5,20,21,38,56,56 38 21 20 03 05
8,1996-04-29,4,17,37,38,47,53,53 17 38 04 47 37
9,1996-05-06,8,43,54,55,56,60,55 43 56 54 08 60
10,1996-05-13,4,18,21,25,38,57,25 04 18 57 21 38
11,1996-05-20,15,25,37,38,58,59,25 15 58 37 59 38
12,1996-05-27,4,16,19,20,27,43,20 27 43 16 19 04
13,1996-06-03,18,32,47,50,54,56,47 32 50 54 18 56
14,1996-06-10,2,16,23,27,47,53,16 02 27 47 23 53
15,1996-06-17,12,33,35,51,52,60,60 12 33 52 35 51
16,1996-06-24,20,32,34,49,58,60,60 58 49 32 20 34
17,1996-07-01,6,10,13,19,20,51,10 20 06 19 51 13
18,1996-07-08,23,27,36,37,42,56,37 36 56 27 42 23
19,1996-07-15,5,10,12,24,25,60,05 25 12 10 60 24
20,1996-07-22,11,25,28,30,33,51,25 28 30 33 51 11
21,1996-07-29,6,33,36,46,49,53,49 46 06 53 33 36
22,1996-08-05,1,9,31,38,46,56,09 38 56 01 31 46
23,1996-08-12,17,37,39,51,52,59,17 52 51 59 39 37
24,1996-08-19,1,8,14,28,33,43,01 08 14 28 33 43
25,1996-08-25,24,43,50,54,55,56,56 50 55 54 24 43
26,1996-09-01,10,22,50,53,57,58,50 53 57 10 58 22
27,1996-09-08,13,17,20,33,44,51,44 33 13 51 17 20
28,1996-09-15,3,6,22,24,54,60,60 06 22 03 24 54
29,1996-09-22,3,8,14,43,56,58,14 56 58 08 43 03
30,1996-09-29,7,14,15,29,38,50,38 50 07 29 15 14
31,1996-10-06,17,19,28,45,48,56,56 19 28 48 17 45
32,1996-10-13,5,14,33,36,43,44,43 33 14 36 05 44
33,1996-10-20,5,17,33,39,42,49,05 33 49 17 42 39
34,1996-10-27,13,15,17,40,53,57,15 13 57 53 40 17
35,1996-11-03,4,16,21,23,54,57,21 57 16 23 54 04
36,1996-11-10,3,13,17,25,29,51,13 03 51 17 29 25
37,1996-11-17,6,7,22,38,52,60,22 06 07 52 38 60
38,1996-11-24,10,42,43,45,54,55,55 42 10 43 45 54
39,1996-12-01,12,16,37,45,52,56,16 37 45 52 56 12
40,1996-12-08,3,5,8,12,46,47,03 12 46 05 47 08
41,1996-12-15,12,26,35,38,39,47,38 26 35 39 12 47
42,1996-12-22,7,11,19,24,33,36,24 36 19 33 07 11
43,1996-12-29,2,6,17,25,26,58,02 58 25 06 26 17
44,1997-01-05,14,18,29,38,44,47,47 38 18 14 29 44
45,1997-01-12,7,30,37,44,53,55,30 07 37 55 44 53
46,1997-01-19,1,23,24,32,46,60,32 46 01 60 24 23
47,1997-01-26,3,17,25,35,48,56,35 17 03 48 25 56
48,1997-02-02,2,5,28,34,47,50,47 05 34 28 02 50
49,1997-02-09,7,13,33,35,43,55,33 07 43 35 13 55
50,1997-02-16,6,16,21,44,57,58,57 44 21 16 58 06
51,1997-02-23,17,23,24,25,42,47,23 24 42 25 17 47
52,1997-03-02,15,30,38,46,58,59,58 15 59 30 38 46
53,1997-03-09,3,13,16,38,42,46,42 13 03 46 38 16
54,1997-03-16,5,9,18,21,36,56,05 21 09 56 18 36
55,1997-03-23,2,14,23,29,38,52,29 02 14 38 23 52
56,1997-03-30,2,7,20,35,51,59,51 35 59 07 20 02
57,1997-04-06,7,16,17,27,34,59,27 17 16 34 07 59
58,1997-04-13,12,27,30,37,44,49,30 49 27 37 12 44
59,1997-04-20,2,8,13,28,34,54,28 13 34 02 08 54
60,1997-04-27,3,14,15,20,21,38,38 14 21 15 03 20
61,1997-05-04,8,18,29,42,44,59,59 08 18 29 42 44
62,1997-05-11,6,8,13,24,31,52,52 13 06 24 08 31
63,1997-05-18,9,25,26,40,41,49,26 09 41 49 25 40
64,1997-05-25,8,12,23,50,54,60,08 54 50 60 23 12
65,1997-06-01,1,5,20,25,32,34,20 01 05 32 25 34
66,1997-06-08,12,13,15,26,33,48,15 26 12 33 48 13
67,1997-06-15,12,14,17,27,47,52,47 14 27 52 17 12
68,1997-06-22,1,3,12,13,53,59,53 13 03 01 12 59
69,1997-06-29,25,34,45,53,56,58,56 58 34 53 25 45
70,1997-07-06,17,23,27,40,43,58,40 17 23 43 27 58
71,1997-07-13,16,27,33,43,45,53,53 16 45 43 33 27
72,1997-07-20,1,19,34,43,44,48,19 48 43 01 34 44
73,1997-07-27,25,26,28,45,51,57,57 25 45 28 51 26
74,1997-08-03,2,24,34,37,38,50,02 24 34 50 38 37
75,1997-08-10,21,24,35,36,37,49,36 49 37 35 24 21
76,1997-08-17,8,17,18,23,33,53,33 18 23 08 17 53
77,1997-08-24,21,29,40,49,54,57,29 54 40 57 49 21
78,1997-08-31,12,22,25,31,32,46,22 32 46 12 25 31
79,1997-09-07,2,13,17,25,31,43,43 25 02 13 31 17
80,1997-09-14,23,28,37,40,48,51,51 40 37 23 48 28
81,1997-09-21,10,23,41,47,54,60,47 41 10 60 54 23
82,1997-09-28,15,18,29,36,51,53,51 36 53 29 18 15
83,1997-10-05,4,15,16,24,42,57,24 16 04 42 57 15
84,1997-10-12,4,6,10,25,34,40,10 34 04 06 25 40
85,1997-10-19,6,15,30,37,45,47,47 15 30 37 45 06
86,1997-10-26,6,21,22,34,36,54,54 21 06 34 36 22
87,1997-11-02,4,5,11,28,32,40,40 04 28 32 11 05
88,1997-11-09,4,18,29,37,43,45,45 37 29 04 43 18
89,1997-11-16,13,34,42,44,55,59,59 42 34 13 44 55
90,1997-11-23,9,21,26,40,52,54,21 26 40 54 09 52
91,1997-11-30,2,4,10,35,39,60,60 04 10 35 39 02
92,1997-12-07,1,3,5,23,24,51,05 23 51 03 01 24
93,1997-12-14,2,22,28,31,36,53,22 53 31 28 02 36
94,1997-12-21,8,18,28,51,52,55,28 51 55 18 52 08
95,1997-12-28,6,40,45,46,50,60,46 60 06 40 50 45
96,1998-01-04,4,7,26,40,42,58,04 42 58 26 07 40
97,1998-01-11,5,11,14,35,53,56,56 53 11 14 05 35
98,1998-01-18,13,14,31,33,35,43,43 33 14 31 35 13
99,1998-01-25,11,24,30,33,46,60,30 33 24 11 46 60
100,1998-02-01,14,29,30,46,48,51,46 48 30 14 29 51
101,1998-02-08,1,18,29,31,37,39,39 01 37 31 29 18
102,1998-02-15,19,20,37,42,44,56,44 42 37 56 19 20
103,1998-02-22,1,7,9,49,54,57,09 01 57 07 54 49
104,1998-03-01,1,4,13,21,38,52,13 01 38 21 52 04
105,1998-03-08,3,13,31,43,46,49,03 13 31 43 46 49
106,1998-03-15,5,16,24,35,38,39,24 16 38 05 39 35
107,1998-03-22,2,4,16,24,51,52,02 24 52 04 16 51
108,1998-03-29,21,24,29,34,59,60,60 29 34 24 21 59
109,1998-04-04,1,13,44,48,49,54,54 13 44 49 48 01
110,1998-04-11,18,31,43,52,57,58,57 58 18 31 43 52
111,1998-04-18,4,22,25,32,33,52,52 32 04 33 25 22
112,1998-04-25,12,20,34,37,42,43,37 43 34 20 12 42
113,1998-05-02,7,26,28,34,54,55,34 54 26 28 55 07
114,1998-05-09,6,12,18,37,47,54,47 54 18 06 12 37
115,1998-05-16,4,6,14,20,24,38,06 14 24 20 04 38
116,1998-05-23,5,13,32,36,42,51,36 42 32 05 13 51
117,1998-05-30,20,25,27,33,42,53,53 42 27 20 33 25
118,1998-06-06,9,22,25,37,56,57,22 57 37 09 25 56
119,1998-06-13,1,21,36,38,47,50,47 21 01 50 36 38
120,1998-06-20,3,16,27,40,45,46,46 45 16 40 27 03
121,1998-06-27,2,29,41,44,53,55,53 41 44 02 29 55
122,1998-07-04,11,17,20,39,43,53,20 43 39 11 53 17
123,1998-07-11,13,14,16,26,32,42,13 42 16 32 14 26
124,1998-07-18,5,15,34,41,52,57,52 05 34 57 15 41
125,1998-07-25,25,41,47,53,56,59,56 47 25 59 53 41
126,1998-08-01,6,10,11,28,32,40,32 28 06 10 11 40
127,1998-08-08,21,29,50,51,54,59,59 21 51 54 29 50
128,1998-08-15,3,9,18,21,23,43,23 43 03 21 09 18
129,1998-08-22,1,9,10,32,46,54,46 54 10 09 01 32
